Autor;Geburtsjahr;Todesjahr
Adabert Stifter;1805;1868
Božena N?mcová;1820;1862
Charles Dickens;1812;1870
Conrad Ferdinand Meyer;1825;1898
Émile Zola;1840;1902
Emily Brontë;1818;1848
Friedrich Hebbel;1813;1863
Gottfried Keller;1819;1890
Gustav Freytag;1816;1895
Gustave Flaubert ;1821;1880
Herman Melville;1819;1891
Lew Nikolajewitsch Tolstoi ;1828;1910
Mark Twain ;1835;1910
Octave Mirbeau;1848;1917
Theodor Fontane;1819;1898
Theodor Storm;1817;1888
Wilhelm Raabe;1831;1910
Wilhelm Busch;1832;1908
Marie von Ebner-Eschenbach;1830;1916
Henrik Ibsen;1828;1906
