Time,life-expectancy,population,unemployment-rate,GNI
1970,70.8073170731707,205052000,4.9,5284965091773.15
1971,71.1073170731707,207661000,5.9,5462058669414.45
1972,71.1560975609756,209896000,5.6,5750187708464.7
1973,71.3560975609756,211909000,4.9,6087866362625.92
1974,71.9560975609756,213854000,5.6,6061727207151.45
1975,72.6048780487805,215973000,8.5,6035728716199.07
1976,72.8560975609756,218035000,7.7,6368809961608.67
1977,73.2560975609756,220239000,7.1,6667850739876.37
1978,73.3560975609756,222585000,6.1,7032632660979.03
1979,73.8048780487805,225055000,5.8,7276198526533.39
1980,73.609756097561,227225000,7.1,7255569364179.25
1981,74.009756097561,229466000,7.6,7427299667513.05
1982,74.3609756097561,231664000,9.7,7298926714560.68
1983,74.4634146341463,233792000,9.6,7628296849207.81
1984,74.5634146341464,235825000,7.5,8169951605121.59
1985,74.5634146341464,237924000,7.2,8484467553703.36
1986,74.6146341463415,240133000,7,8759652048579.87
1987,74.7658536585366,242289000,6.2,9061642520209.07
1988,74.7658536585366,244499000,5.5,9446954892097.46
1989,75.0170731707317,246819000,5.3,9794542386327.41
1990,75.2146341463415,249623000,5.6,9993269292055.18
1991,75.3658536585366,252981000,6.8,9975885589631.09
1992,75.6170731707317,256514000,7.5,10323506124626.5
1993,75.419512195122,259919000,6.9,10605259698366.8
1994,75.619512195122,263126000,6.12,11017266627969.8
1995,75.6219512195122,266278000,5.65,11318653758659.2
1996,76.0268292682927,269394000,5.45,11747561227291.3
1997,76.4292682926829,272657000,5,12256587029171.8
1998,76.5804878048781,275854000,4.51,12795837060159.7
1999,76.5829268292683,279040000,4.22,13426455356673.1
2000,76.6365853658537,282162411,3.99,13981264830006.5
2001,76.8365853658537,284968955,4.73,14129036136056.2
2002,76.9365853658537,287625193,5.78,14360631192421.5
2003,77.0365853658537,290107933,5.99,14775502239200
2004,77.4878048780488,292805298,5.53,15362378399535.5
2005,77.4878048780488,295516599,5.08,15888615843618.8
2006,77.6878048780488,298379912,4.62,16292499532788.7
2007,77.9878048780488,301231207,4.62,16673345306893.7
2008,78.0390243902439,304093966,5.78,16745259961357.2
2009,78.390243902439,306771529,9.25,16320567643350.4
2010,78.5414634146342,309327143,9.63,16816142874709.5
2011,78.6414634146341,311583481,8.95,17102414712686.6
2012,78.7414634146342,313877662,8.07,17476891749599.3
2013,78.7414634146342,316059947,7.37,17788254665398.2
2014,78.8414634146341,318386329,6.17,18190834785495.2
2015,78.690243902439,320738994,5.28,18660910000000
2016,78.5390243902439,323071755,4.87,18978411813945.2
2017,78.5390243902439,325122128,4.36,19454640866369
2018,78.6390243902439,326838199,3.9,20010001800350.4
2019,78.7878048780488,328329953,3.67,20446735313066.9
2020,76.9804878048781,331511512,8.05,19808808531373.8
2021,76.3292682926829,332031554,5.35,20946622238465
